question_id,category,question,response,timestamp,method_used,model
1,Depression & Mood,I'm feeling depressed. I can't focus on my studies. What should I do?,"I’m really sorry you’re feeling this way. Here are some clear steps you can try:

Break tasks small – Study in 20–30 min chunks with short breaks.

Prioritize basics – Sleep, eat balanced meals, and stay hydrated.

Move your body – Even a 10-minute walk helps mood and focus.

Talk to someone you trust – Don’t keep it inside.

Professional help – If low mood lasts more than two weeks or feels overwhelming, see a counselor/therapist.

👉 If you ever feel like you might harm yourself, please reach out immediately to a trusted person or a crisis hotline in your country. You don’t have to go through this alone.",8/20/2025 21:13,3,ChatGPT
2,Depression & Mood,"Lately, I feel sad all the time and can't find joy in anything.","I hear you — feeling sad all the time and losing joy in things you used to enjoy can be really tough. Here are some clear next steps:

Acknowledge it – This isn’t just “laziness,” it’s a real emotional struggle.

Daily basics – Regular sleep, movement, and meals can lift mood gradually.

Small activities – Even if they don’t feel enjoyable right away, try short walks, listening to music, or brief chats with someone.

Express it – Write your feelings down or talk to someone you trust.

Seek help – A mental health professional can give proper support and treatment if needed.

👉 If these feelings are constant for more than two weeks or getting worse, it’s important to reach out for professional help.
👉 If you ever feel like you might hurt yourself, please contact a crisis hotline or someone you trust immediately.",8/20/2025 21:13,3,ChatGPT
3,Depression & Mood,I have trouble sleeping because I feel emotionally drained.,"That sounds exhausting. Here are a few straightforward things you can try to improve sleep when you feel emotionally drained:

Set a routine – Go to bed and wake up at the same time daily.

Wind down – Avoid screens 1 hour before bed; try reading, calming music, or deep breathing.

Limit stimulants – No caffeine, nicotine, or heavy meals close to bedtime.

Create a sleep space – Keep your room dark, cool, and quiet.

Write it out – If thoughts race, jot them down before bed to clear your mind.

Short naps only – If tired during the day, keep naps under 30 minutes.

👉 If sleep problems persist for weeks or worsen, consider talking to a doctor or counselor.",8/20/2025 21:14,3,ChatGPT
4,Depression & Mood,I feel empty and hopeless about my future.,"I’m really sorry you’re feeling this way. That sense of emptiness and hopelessness can be very heavy. Here are some clear steps you can take:

Don’t face it alone – Talk to a trusted friend, family member, or mentor. Sharing reduces the weight.

Ground yourself in the present – Focus on today’s small actions instead of the whole future.

Set tiny goals – Even simple things (finishing a short task, going for a walk) can rebuild a sense of direction.

Limit comparisons – Everyone’s path unfolds differently; yours is still unfolding.

Professional support – A counselor or therapist can help you work through hopelessness and find new perspective.

👉 If you ever feel like giving up or hurting yourself, please reach out immediately to someone you trust or a crisis hotline in your country. You don’t have to go through this alone.",8/20/2025 21:14,3,ChatGPT
5,Depression & Mood,Even small tasks feel overwhelming for me.,"I hear you — when even small tasks feel overwhelming, it’s often a sign your mind and body are under a lot of strain. Here are some straightforward things you can try:

Break it down – Turn one big task into the smallest possible step (e.g., instead of “clean my room,” start with “pick up one item”).

Set a timer – Work for just 5 minutes, then pause. Often starting is the hardest part.

Prioritize only 1–2 tasks a day – Don’t overload your to-do list.

Celebrate tiny wins – Even completing a very small step counts.

Rest without guilt – Give yourself permission to pause and recharge.

👉 If this feeling continues for weeks and makes daily life very hard, reaching out to a mental health professional could make a real difference.",8/20/2025 21:14,3,ChatGPT
6,Depression & Mood,My mood swings are affecting my daily life.,"Mood swings that affect daily life can be draining. Here’s a precise approach:

Track patterns – Note when mood changes happen, what triggers them, and how long they last.

Routine basics – Regular sleep, meals, and movement stabilize mood.

Stress management – Short breaks, breathing exercises, or journaling can reduce swings.

Limit triggers – Identify people, situations, or substances (like caffeine or alcohol) that worsen mood.

Professional support – A therapist or doctor can help identify underlying causes and offer coping strategies or treatment.

👉 If mood swings involve severe depression, irritability, or thoughts of self-harm, seek help immediately.",8/20/2025 21:15,3,ChatGPT
7,Depression & Mood,I find myself crying for no clear reason.,"Crying without a clear reason can be a sign your emotions are overwhelmed. Here’s what you can do:

Acknowledge your feelings – It’s okay to cry; it’s your body releasing stress.

Keep a brief journal – Note what you felt before and after crying; patterns may emerge.

Practice calming techniques – Deep breathing, short walks, or listening to gentle music.

Connect with someone – Talking to a friend, family member, or counselor can help.

Seek professional help – Persistent unexplained crying may signal depression or emotional imbalance that a therapist can help with.

👉 If crying comes with thoughts of harming yourself, seek immediate help from a trusted person or crisis hotline.",8/20/2025 21:15,3,ChatGPT
8,Anxiety & Stress,I've been feeling anxious lately. How can I calm myself down?,"Here’s a straightforward way to calm anxiety:

Deep breathing – Inhale 4 sec, hold 4 sec, exhale 6 sec, repeat 5 times.

Grounding – Name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, 1 you can taste.

Short movement – Walk, stretch, or do light exercise to release tension.

Limit stimulants – Reduce caffeine, sugar, and screen overload.

Write it down – Jot your worries to clear your mind.

Talk to someone – Sharing anxious thoughts reduces their intensity.

👉 If anxiety is constant or overwhelming, a mental health professional can provide long-term strategies and support.",8/20/2025 21:15,3,ChatGPT
9,Anxiety & Stress,I can't stop worrying about things I can't control.,"Here’s a precise way to manage worry about things you can’t control:

Identify controllables – Make a list: what you can change vs. what you can’t.

Focus on action – Put energy only into small steps for things you can influence.

Set a “worry time” – Allow yourself 10–15 minutes a day to think about worries, then move on.

Grounding exercises – Deep breathing, sensory check-ins, or a short walk to stay present.

Challenge thoughts – Ask: “Is worrying helping me solve this?” Often, the answer is no.

Talk it out – Sharing concerns with someone you trust can ease the mental load.

👉 If worry feels constant and overwhelming, a therapist can teach coping strategies like CBT to reduce it.",8/20/2025 21:16,3,ChatGPT
10,Anxiety & Stress,My heart races every time I think about my responsibilities.,"A racing heart from stress is your body’s anxiety response. Here’s what you can do:

Deep breathing – Inhale 4 sec, hold 4 sec, exhale 6 sec, repeat 5 times.

Ground yourself – Focus on your senses: notice 5 things you see, 4 you touch, 3 you hear.

Break tasks small – Tackle one tiny step at a time instead of everything at once.

Move your body – Short walk or stretch to release tension.

Limit stimulants – Reduce caffeine and sugar when stressed.

Talk it out – Sharing responsibilities or worries with someone can ease tension.

👉 If heart racing is frequent or intense, consult a doctor to rule out medical causes and a therapist for anxiety management.",8/20/2025 21:16,3,ChatGPT
